,Unnamed: 0.2,Tweets,Fecha,urls,urls_reales,medios,Tweets_sin_url,cluster,RT
36,83637,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata” https://t.co/x8JEdh1TRS https://t.co/ZmqyLqhD3o",Wed Aug 21 23:06:58 +0000 2019,https://t.co/x8JEdh1TRS,http://bit.ly/2L3s6YP,False,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata”  https://t.co/ZmqyLqhD3o",True,False
37,83641,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández: 
      Emmanuel... https://t.co/gBLRdJht86",Wed Aug 21 23:10:02 +0000 2019,https://t.co/gBLRdJht86,https://www.radiodogo.com/politica/809944/,False,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández: 
      Emmanuel... ",True,False
38,83659,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández - https://t.co/lIuXRrrs15 https://t.co/fTKovHXiXI",Wed Aug 21 23:10:45 +0000 2019,https://t.co/lIuXRrrs15,http://tinyurl.com/y6cxsrcg,False,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández -  https://t.co/fTKovHXiXI",True,False
39,83891,"Para un economista de Alberto Fernández, “la deuda es como la falopa” https://t.co/HxazMHPCn7 https://t.co/6faoU2mRUZ",Thu Aug 22 00:21:02 +0000 2019,https://t.co/HxazMHPCn7,http://dlvr.it/RBfMxP,False,"Para un economista de Alberto Fernández, “la deuda es como la falopa”  https://t.co/6faoU2mRUZ",True,False
40,83892,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández https://t.co/NArDwOtzuC",Thu Aug 22 00:21:02 +0000 2019,https://t.co/NArDwOtzuC,http://dlvr.it/RBfMy5,False,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández ",True,False
41,84016,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata” https://t.co/x8JEdh1TRS https://t.co/l8GWZE4Ps0",Thu Aug 22 00:53:51 +0000 2019,https://t.co/x8JEdh1TRS,http://bit.ly/2L3s6YP,False,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata”  https://t.co/l8GWZE4Ps0",True,False
42,84019,"Rara comparación. Emmanuel Álvarez Agis, uno de los economistas cercanos a Alberto Fernández:""La deuda es como la falopa"" https://t.co/t0wSo8c1gl",Thu Aug 22 00:56:10 +0000 2019,0,0,False,"Rara comparación. Emmanuel Álvarez Agis, uno de los economistas cercanos a Alberto Fernández:""La deuda es como la falopa"" https://t.co/twSo8c1gl",True,False
43,84085,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández https://t.co/hQmditdMWl a través de @LANACION",Thu Aug 22 01:18:37 +0000 2019,https://t.co/hQmditdMWl,http://www.lanacion.com.ar/2279656,False,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández  a través de @LANACION",True,False
44,84232,"Ah, que bueno che, que CANDIDATOS! Más claro, échale agua. LA NACION - ""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández - https://t.co/3hvhnXFjdu",Thu Aug 22 02:04:24 +0000 2019,https://t.co/3hvhnXFjdu,http://www.lanacion.com.ar/2279656,False,"Ah, que bueno che, que CANDIDATOS! Más claro, échale agua. LA NACION - ""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández - ",True,False
45,84390,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández https://t.co/QV8UkNr2Ct",Thu Aug 22 03:24:33 +0000 2019,https://t.co/QV8UkNr2Ct,http://dlvr.it/RBfh5p,False,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández ",True,False
46,84522,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández https://t.co/zPAKWUN6OG https://t.co/04q4pvqjVI",Thu Aug 22 06:34:35 +0000 2019,https://t.co/zPAKWUN6OG,http://dlvr.it/RBg1RY,False,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández  https://t.co/04q4pvqjVI",True,False
47,84528,"Alberto Fernández: le pedí a Álvarez Agis que saliera q explicar algunas cosas que pueden malinterpretarse
Álvarez Agis: la deuda es como la falopa",Thu Aug 22 06:49:48 +0000 2019,0,0,False,"Alberto Fernández: le pedí a Álvarez Agis que saliera q explicar algunas cosas que pueden malinterpretarse
Álvarez Agis: la deuda es como la falopa",True,False
48,403602,"Un economista de @alferdez el señor AGIS dijo

""El problema es que la deuda es como la falopa, al principio es rica, pero después te mata",Wed Aug 21 15:15:39 +0000 2019,0,0,False,"Un economista de @alferdez el señor AGIS dijo

""El problema es que la deuda es como la falopa, al principio es rica, pero después te mata",True,False
49,405047,"La deuda es como la falopa, al principio es rica pero después te mataabajajajahahahahahahhahahahajajjaa anda a la mierda con ese economista tuyo compadre @alferdez",Wed Aug 21 17:40:18 +0000 2019,0,0,False,"La deuda es como la falopa, al principio es rica pero después te mataabajajajahahahahahahhahahahajajjaa anda a la mierda con ese economista tuyo compadre @alferdez",True,False
50,405390,"El impresentable Alvarez Agis, economista del patotero de @alferdez dijo que la deuda es como la falopa. Salgamos a la calle #24agostoyovoy para que no vuelvan nunca más #MacriPichetto2019ListaCompleta #MacriTeVuelvoAElegir https://t.co/YwO8CPEacL",Wed Aug 21 18:22:09 +0000 2019,0,0,False,"El impresentable Alvarez Agis, economista del patotero de @alferdez dijo que la deuda es como la falopa. Salgamos a la calle #24agostoyovoy para que no vuelvan nunca más #MacriPichetto219ListaCompleta #MacriTeVuelvoAElegir https://t.co/YwO8CPEacL",True,False
51,408202,@ReversoAr @alferdez @VickyyLeiva @depuntocorti Che no pueden chequear algo más útil? Como la comparación entre la falopa y la deuda,Thu Aug 22 00:19:22 +0000 2019,0,0,False,@ReversoAr @alferdez @VickyyLeiva @depuntocorti Che no pueden chequear algo más útil? Como la comparación entre la falopa y la deuda,True,False
52,447665,"@betty_nachi @LucioMansilla7 @alferdez O sabe mucho de deuda o mucho de falopa.
En ningun caso es algo bueno...",Mon Aug 26 01:51:38 +0000 2019,0,0,False,"@betty_nachi @LucioMansilla7 @alferdez O sabe mucho de deuda o mucho de falopa.
En ningun caso es algo bueno...",True,False
53,,"Uno de los referentes económicos de Alberto Fernández: ""La deuda es como la falopa, al principio es rica pero después te mata""  https://t.co/drqh5ydBwC vía @todonoticias",Wed Aug 21 13:46:21 +0000 2019,0,0,False,"Uno de los referentes económicos de Alberto Fernández: ""La deuda es como la falopa, al principio es rica pero después te mata""  https://t.co/drqh5ydBwC vía @todonoticias",True,True
54,,"Para un economista de Alberto Fernández, ""la deuda es como la falopa"" https://t.co/4G1ubRKQJG",Wed Aug 21 13:48:05 +0000 2019,0,0,True,"Para un economista de Alberto Fernández, ""la deuda es como la falopa"" https://t.co/4G1ubRKQJG",True,True
55,,"Para un economista de Alberto Fernández, ""la deuda es como la falopa"" https://t.co/4G1ubRKQJG",Wed Aug 21 13:49:56 +0000 2019,0,0,True,"Para un economista de Alberto Fernández, ""la deuda es como la falopa"" https://t.co/4G1ubRKQJG",True,True
56,,"Para un economista de Alberto Fernández, ""la deuda es como la falopa"" https://t.co/4G1ubRKQJG",Wed Aug 21 13:52:02 +0000 2019,0,0,True,"Para un economista de Alberto Fernández, ""la deuda es como la falopa"" https://t.co/4G1ubRKQJG",True,True
